problem,case,seed,source_count,cleared_count,all_cleared,single_source_average_clear_time_s,per_case_clear_time_s,program_runtime_s,measure_count,status,error,move_time_s,switch_time_s,measure_time_s,clear_action_time_s
Q3,1,2026091200,12,12,True,265.63920956302974,3187.6705147563566,0.8663647969999602,120,complete,,2400.6705147563553,112.0,600.0,75.0
Q3,2,2026091201,14,14,True,219.27214999897726,3069.8100999856815,1.9837269160000233,111,complete,,2319.810099985681,101.0,555.0,94.0
Q3,3,2026091202,11,11,True,309.6958821346551,3406.654703481206,2.6426454229999763,133,complete,,2512.6547034812043,123.0,665.0,106.0
Q3,4,2026091203,13,13,True,234.1723152038659,3044.2400976502568,2.2111801770001875,121,complete,,2236.2400976502577,108.0,605.0,95.0
Q3,5,2026091204,13,13,True,265.60830388249695,3452.9079504724605,2.0700751209999453,122,complete,,2622.9079504724614,116.0,610.0,104.0
Q3,6,2026091205,15,15,True,242.13378328235845,3632.006749235377,2.2741232270000182,111,complete,,2869.0067492353764,106.0,555.0,102.0
Q3,7,2026091206,13,13,True,268.0261499309849,3484.3399491028035,1.002838569000005,118,complete,,2709.3399491028035,108.0,590.0,77.0
Q3,8,2026091207,14,14,True,247.94404832391606,3471.2166765348247,2.3357122550000895,113,complete,,2704.2166765348243,102.0,565.0,100.0
Q3,9,2026091208,15,15,True,232.0059164500665,3480.0887467509974,1.082925122000006,108,complete,,2753.0887467509965,100.0,540.0,87.0
Q3,10,2026091209,13,13,True,259.7742089960766,3377.0647169489957,0.8938154510001368,123,complete,,2569.0647169489953,116.0,615.0,77.0
Q3,11,2026091210,15,15,True,236.5755663426017,3548.6334951390254,1.2335777010000584,119,complete,,2751.6334951390263,112.0,595.0,90.0
Q3,12,2026091211,11,11,True,299.3879669984682,3293.26763698315,1.0092311570001584,123,complete,,2472.2676369831493,118.0,615.0,88.0
Q3,13,2026091212,15,15,True,220.96987635831417,3314.5481453747125,2.6868565340000714,119,complete,,2501.548145374711,107.0,595.0,111.0
Q3,14,2026091213,14,14,True,244.80071635050322,3427.210028907045,2.2869236680000995,119,complete,,2620.210028907045,112.0,595.0,100.0
Q3,15,2026091214,12,12,True,233.8974649986926,2806.7695799843113,1.1342693970000255,106,complete,,2102.7695799843123,99.0,530.0,75.0
Q3,16,2026091215,15,15,True,239.39823187215055,3590.973478082258,2.2635204430000613,120,complete,,2783.9734780822587,111.0,600.0,96.0
Q3,17,2026091216,13,13,True,257.11300678557535,3342.4690882124796,1.9801425180000933,122,complete,,2531.469088212479,118.0,610.0,83.0
Q3,18,2026091217,10,10,True,328.9851526936238,3289.851526936238,1.6284620339999947,136,complete,,2415.8515269362374,126.0,680.0,68.0
Q3,19,2026091218,11,11,True,305.9462803017717,3365.4090833194887,1.052211730999943,128,complete,,2532.4090833194878,117.0,640.0,76.0
Q3,20,2026091219,15,15,True,255.00450155604466,3825.06752334067,1.439075867000156,125,complete,,2993.0675233406705,117.0,625.0,90.0
Q3,21,2026091220,16,16,True,176.9515501516863,2831.2248024269807,2.161858567999843,91,complete,,2196.2248024269807,82.0,455.0,98.0
