case,seed,true_total,cleared_count,clear_ratio,success,status,virtual_time_s,time_per_cleared_source_s,distance_m,measure_count,clear_attempts,failed_clear_attempts,program_runtime_s,mean_clear_distance_m,p95_clear_distance_m,mean_center_error_m,error_hit_rate_20m,error_hit_rate_50m,error_hit_rate_100m,probe_attempts,probe_successes,error
1,2026091300,11,11,1.0,True,complete,3318.140477176144,301.64913428874036,12395.70238588072,126,23,12,4.062000000005355,15.525405419218862,19.07260308635591,9.364795923187947,1.0,1.0,1.0,15,3,
2,2026091301,14,14,1.0,True,complete,3633.1808799242035,259.51291999458596,14185.904399621018,115,29,15,3.9689999999827705,13.721114456751067,19.2511084266486,5.720642013240366,1.0,1.0,1.0,19,4,
3,2026091302,15,15,1.0,True,complete,3302.1936018358288,220.14624012238858,12795.968009179143,106,28,13,4.125,13.404896406563177,19.504653489724415,8.437246878377316,1.0,1.0,1.0,17,4,
