problem,case,seed,source_count,cleared_count,all_cleared,single_source_average_clear_time_s,per_case_clear_time_s,program_runtime_s,measure_count
Q4,1,2026091200,12,12,True,539.1504396352422,6469.805275622905,2.233658778015524,253
Q4,2,2026091201,14,14,True,431.9737525625033,6047.632535875046,2.3371972641907632,200
Q4,3,2026091202,11,11,True,586.6128339214035,6452.741173135439,2.179936967790127,283
Q4,4,2026091203,13,13,True,465.35042195633866,6049.555485432403,1.7563292286358774,214
Q4,5,2026091204,13,13,True,508.3491548623027,6608.539013209936,1.954817624296993,255
Q4,6,2026091205,15,15,True,441.7854156145165,6626.781234217748,2.486138856038451,239
Q4,7,2026091206,13,13,True,462.7698867249153,6016.008527423899,1.9482317590154707,246
Q4,8,2026091207,14,14,True,430.07810890364965,6021.093524651095,2.1148722521029413,231
Q4,9,2026091208,15,15,True,414.7110917220859,6220.666375831288,2.410108685027808,210
Q4,10,2026091209,13,13,True,487.7075338141292,6340.19793958368,1.9553886158391833,261
Q4,11,2026091210,15,15,True,421.0900575288259,6316.350862932389,2.5764675731770694,238
Q4,12,2026091211,11,11,True,540.126386865997,5941.390255525967,1.9179025725461543,244
Q4,13,2026091212,15,15,True,420.2854472048691,6304.2817080730365,2.42282456997782,198
Q4,14,2026091213,14,14,True,414.11876161423726,5797.662662599321,2.167237806133926,205
Q4,15,2026091214,12,12,True,516.084732726994,6193.016792723928,2.04190935799852,219
Q4,16,2026091215,15,15,True,435.5193934956135,6532.7909024342025,2.9386387201957405,246
Q4,17,2026091216,13,13,True,472.7288577294226,6145.4751504824935,2.0796461328864098,238
Q4,18,2026091217,10,10,True,617.3569879845546,6173.569879845546,1.4948394517414272,272
Q4,19,2026091218,11,11,True,568.3463172246453,6251.8094894710985,1.96710553066805,285
Q4,20,2026091219,15,15,True,420.0630821211187,6300.946231816781,2.421458394266665,234
Q4,21,2026091220,16,16,True,308.169898499623,4930.718375993968,2.83770645596087,161
Q4,22,2026091221,16,16,True,375.83501370895146,6013.360219343223,2.5323815937153995,196
Q4,23,2026091222,13,13,True,486.12088579983214,6319.571515397818,2.060082827694714,246
Q4,24,2026091223,11,11,True,551.3711178406185,6065.082296246804,1.7292594970203936,243
Q4,25,2026091224,12,12,True,526.5433635859347,6318.520363031216,1.766278710681945,262
Q4,26,2026091225,15,15,True,402.1489069139444,6032.233603709166,2.039927925914526,249
Q4,27,2026091226,12,12,True,487.9061725021806,5854.874070026167,1.921478585805744,251
Q4,28,2026091227,15,15,True,394.9170747334505,5923.7561210017575,2.040863261092454,204
Q4,29,2026091228,14,14,True,429.41379203499025,6011.793088489863,2.1998492679558694,213
Q4,30,2026091229,15,15,True,453.0048393868939,6795.072590803408,3.1531768781132996,243
Q4,31,2026091230,16,16,True,382.21595006760646,6115.455201081703,2.6858810069970787,187
Q4,32,2026091231,10,10,True,642.1055760614815,6421.055760614815,1.7907263380475342,303
Q4,33,2026091232,13,13,True,479.2724240760963,6230.541512989252,2.0383414989337325,240
Q4,34,2026091233,10,10,True,606.364237300654,6063.642373006541,1.4572663982398808,299
Q4,35,2026091234,11,11,True,565.3455793785268,6218.801373163795,1.7152216588146985,264
Q4,36,2026091235,12,12,True,500.8669747116774,6010.403696540129,2.0963986022397876,234
Q4,37,2026091236,15,15,True,426.6872641987401,6400.308962981101,2.536251487210393,236
Q4,38,2026091237,10,10,True,652.6888381271121,6526.888381271122,1.8272473672404885,307
Q4,39,2026091238,11,11,True,544.3786113712887,5988.164725084176,1.5411129919812083,260
Q4,40,2026091239,13,13,True,488.167820626426,6346.181668143538,2.7226558881811798,246
Q4,41,2026091240,10,10,True,653.6964171782734,6536.9641717827335,2.061806532088667,301
Q4,42,2026091241,13,13,True,461.1781660673419,5995.316158875445,2.348550697788596,240
Q4,43,2026091242,16,16,True,392.4711203266927,6279.537925227083,2.7842618552967906,211
Q4,44,2026091243,11,11,True,562.1773970623374,6183.951367685711,2.152670037932694,269
Q4,45,2026091244,15,15,True,408.14130098230385,6122.119514734558,2.872910031117499,218
Q4,46,2026091245,14,14,True,436.2069267187134,6106.896974061988,2.3753351639024913,206
Q4,47,2026091246,13,13,True,479.14417179641345,6228.874233353375,1.9130235109478235,272
Q4,48,2026091247,16,16,True,375.62927860484905,6010.068457677585,2.883685049135238,181
Q4,49,2026091248,13,13,True,497.6161586317778,6469.010062213111,1.9242496830411255,251
Q4,50,2026091249,10,10,True,623.8290343178223,6238.290343178223,1.5155961671844125,292
Q4,51,2026091250,12,12,True,501.0530311496547,6012.636373795856,1.971249571070075,251
Q4,52,2026091251,15,15,True,415.34678539953507,6230.201780993026,2.2952560549601912,228
Q4,53,2026091252,10,10,True,591.3793804791164,5913.793804791165,1.5069497670046985,279
Q4,54,2026091253,15,15,True,428.47332245878164,6427.0998368817245,2.7019086917862296,187
Q4,55,2026091254,11,11,True,591.2566390938326,6503.823030032158,1.9849214782007039,267
Q4,56,2026091255,15,15,True,379.5091018030659,5692.636527045988,2.3715784903615713,204
Q4,57,2026091256,13,13,True,463.0422125486209,6019.548763132072,2.124860784970224,221
Q4,58,2026091257,11,11,True,556.8790626555304,6125.669689210835,2.202699529007077,262
Q4,59,2026091258,13,13,True,473.3809869275567,6153.952830058237,2.469452502205968,251
Q4,60,2026091259,15,15,True,413.98720078303126,6209.808011745469,2.259971287101507,218
Q4,61,2026091260,13,13,True,502.34748049947524,6530.517246493178,2.4786535375751555,242
Q4,62,2026091261,11,11,True,592.8656453055702,6521.522098361273,2.095842483919114,255
Q4,63,2026091262,16,16,True,361.68103903718963,5786.896624595034,2.6178327039815485,200
Q4,64,2026091263,10,10,True,620.3388486739624,6203.388486739624,2.141830660402775,264
Q4,65,2026091264,14,14,True,456.7403136279285,6394.364390790999,2.1956754620186985,241
Q4,66,2026091265,12,12,True,487.15427444800554,5845.851293376067,1.9035884155891836,257
Q4,67,2026091266,12,12,True,530.7482480903283,6368.978977083939,2.1761463549919426,287
Q4,68,2026091267,11,11,True,573.7659020769103,6311.424922846013,1.976644366979599,259
Q4,69,2026091268,14,14,True,457.7439798354122,6408.415717695771,2.304514310788363,290
Q4,70,2026091269,11,11,True,576.2363134311952,6338.599447743147,2.061685821041465,252
