layout_name,ring_points,ring_radius,case_count,success_count,mean_clear_ratio,mean_virtual_time_s,std_virtual_time_s,pooled_time_per_source_s,mean_distance_m,mean_measure_count,mean_program_runtime_s,failed_clear_attempts
ring6_1123,6,1123.0,3,3,1.0,3667.1560488555047,177.08474307529062,268.3284913796711,14820.780244277521,103.0,4.3536666666623205,30
ring7_998,7,998.0,3,3,1.0,3299.297963966981,201.96545226749257,241.41204614392544,13068.156486501568,100.33333333333333,3.1146666666706246,24
ring8_939,8,939.0,3,3,1.0,3400.594652260823,284.82791889969803,248.82399894591387,13091.306594637448,116.33333333333333,3.2863333333322466,24
ring9_904,9,904.0,3,3,1.0,3451.118129379904,141.13414184273591,252.52083873511495,13225.590646899518,120.0,3.2083333333333335,26
ring10_881,10,881.0,3,3,1.0,3399.484348783925,182.55086045213432,248.74275722809207,12742.421743919627,128.0,3.020999999998215,23
