experiment,setting,native_j_star,j_at_reference_order,relative_delta_percent,area_or_region,marching_area
circle_sides,16.0,3342.150658637395,3347.985902655817,2.0580915624430722,40374.049030207476,
circle_sides,32.0,3274.7532385440877,3279.8451439172445,0.0,39310.56832539652,
quadrature_order,2.0,3201.8105888250375,3322.385971950005,3.7188227263540132,,
quadrature_order,3.0,3325.4792675883023,3325.4792675883023,0.0,,
candidate_grid,11.0,,,,720672.5093629749,438554.8504389378
candidate_grid,21.0,,,,650607.1265082413,585634.4543613989
