layout_name,ring_points,ring_radius,case_count,success_count,mean_clear_ratio,mean_virtual_time_s,std_virtual_time_s,pooled_time_per_source_s,mean_distance_m,mean_measure_count,mean_program_runtime_s,failed_clear_attempts
ring6_1123,6,1123.0,3,3,1.0,3650.858209707379,210.42822383786887,273.8143657280534,14539.29104853689,107.33333333333333,5.703333333328676,44
ring7_998,7,998.0,3,3,1.0,3344.336271132583,343.73268920305384,250.82522033494374,12911.681355662913,110.0,5.3336666666824994,43
ring8_939,8,939.0,3,3,1.0,3399.921605913178,165.6596680174228,254.99412044348838,12771.274696232555,124.33333333333333,4.307333333340163,41
ring9_904,9,904.0,3,3,1.0,3326.741093529954,231.5199499236652,249.50558201474655,12220.372134316436,131.0,3.598666666657664,37
ring10_881,10,881.0,3,3,1.0,3501.6341970711383,203.54313339252016,262.6225647803354,12731.504318689025,144.66666666666666,3.5679999999993015,28
