case,seed,channel,reception_radius_m,center_error_m,mean_error_m,clear_distance_m,clear_attempts,clear_success,station_count,certified
1,2026091320,2,1000.0,3.5973765671812017,2.690356041796197,17.3192781387772,1,True,3,True
1,2026091320,3,1000.0,10.095757148571156,8.356716988316288,19.38146378418504,1,True,3,True
1,2026091320,4,1000.0,0.5794456272246004,0.509257706804379,17.872602283782754,6,True,3,True
1,2026091320,7,1000.0,1.6916593676000045,1.1087038663150874,19.10278555755605,3,True,3,True
1,2026091320,8,1000.0,0.3035533439913445,0.5308798988116853,17.727704021581577,2,True,3,True
1,2026091320,9,1000.0,4.106721152154792,4.807983560352218,19.594293391438626,6,True,3,True
1,2026091320,10,1000.0,3.0401224131718276,4.172893892648084,19.563213478021392,6,True,3,True
1,2026091320,12,1000.0,2.6035777341327324,3.249114872015317,17.86926823444699,6,True,3,True
1,2026091320,14,1000.0,2.4283482107960666,2.696507648042993,18.81462327227074,6,True,3,True
1,2026091320,15,1000.0,6.37063712170075,4.681101518202141,19.448037877090197,1,True,2,True
1,2026091320,16,1000.0,5.526961589124035,7.977491201728932,19.120685810271944,6,True,3,True
1,2026091320,17,1000.0,2.326957194218661,0.9952803792905043,17.987969367712463,6,True,3,True
1,2026091320,18,1000.0,3.8458574907522673,5.142214303214199,18.442607785730875,6,True,3,True
1,2026091320,19,1000.0,0.7505180391144319,1.4271024835340556,19.492176665264246,6,True,3,True
1,2026091320,20,1000.0,2.569851731929551,3.9250505275442475,18.88815310545646,6,True,3,True
