epsilon_w,p_w,point_x,point_y,j_star,j_under_reference_weight,distance_from_s1,bearing_from_s1_deg,bearing_difference_deg,reception_h,reception_h_tolerance,strict_feasible,feasible_with_tolerance,optimization_source,use_global_search,selected_iterations,selected_function_evaluations,local_run_count,local_success_count,local_feasible_count,global_used,global_iterations,global_function_evaluations,global_feasible_with_tolerance,tau,threshold,candidate_area,accepted_cell_count,grid_size,x_step,y_step,distance_from_s1_min,distance_from_s1_max,component_count
0.1,1.0,475.33899648795176,879.802726981814,1610.906974829786,1611.118517506248,999.9999999934047,61.6185756512951,29.61857565129509,-1.3185897842049599e-05,0.001,True,True,local,False,108,442,76,33,47,False,,,,0.01,1627.0160445780837,1074.979844127923,1,61,32.78688524590163,32.78688524590166,999.8623275871082,999.8623275871082,1
0.1,1.0,475.33899648795176,879.802726981814,1610.906974829786,1611.118517506248,999.9999999934047,61.6185756512951,29.61857565129509,-1.3185897842049599e-05,0.001,True,True,local,False,108,442,76,33,47,False,,,,0.03,1659.2341840746794,13974.737973662997,13,61,32.78688524590163,32.78688524590166,970.7742354904191,999.8623275871082,4
0.1,1.0,475.33899648795176,879.802726981814,1610.906974829786,1611.118517506248,999.9999999934047,61.6185756512951,29.61857565129509,-1.3185897842049599e-05,0.001,True,True,local,False,108,442,76,33,47,False,,,,0.05,1691.4523235712752,25799.51625907015,24,61,32.78688524590163,32.78688524590166,955.8606167108918,999.8623275871082,3
0.1,1.0,475.33899648795176,879.802726981814,1610.906974829786,1611.118517506248,999.9999999934047,61.6185756512951,29.61857565129509,-1.3185897842049599e-05,0.001,True,True,local,False,108,442,76,33,47,False,,,,0.1,1771.9976723127647,65573.7704918033,61,61,32.78688524590163,32.78688524590166,912.0933518047672,999.8623275871082,2
0.1,1.0,475.33899648795176,879.802726981814,1610.906974829786,1611.118517506248,999.9999999934047,61.6185756512951,29.61857565129509,-1.3185897842049599e-05,0.001,True,True,local,False,108,442,76,33,47,False,,,,0.2,1933.088369795743,167696.85568395598,156,61,32.78688524590163,32.78688524590166,843.8261005693786,999.8623275871082,2
0.1,2.0,472.39531331613136,881.3867869700115,1661.1641941264384,1611.0157330828372,1000.0000001441832,61.810105827540234,29.81010582754024,0.0002883709967136383,0.001,False,True,local,False,98,403,76,33,50,False,,,,0.01,1677.7758360677028,1074.979844127923,1,61,32.78688524590163,32.78688524590166,999.8623275871082,999.8623275871082,1
0.1,2.0,472.39531331613136,881.3867869700115,1661.1641941264384,1611.0157330828372,1000.0000001441832,61.810105827540234,29.81010582754024,0.0002883709967136383,0.001,False,True,local,False,98,403,76,33,50,False,,,,0.03,1710.9991199502315,12899.758129535076,12,61,32.78688524590163,32.78688524590166,970.7742354904191,999.8623275871082,4
0.1,2.0,472.39531331613136,881.3867869700115,1661.1641941264384,1611.0157330828372,1000.0000001441832,61.810105827540234,29.81010582754024,0.0002883709967136383,0.001,False,True,local,False,98,403,76,33,50,False,,,,0.05,1744.2224038327604,23649.556570814304,22,61,32.78688524590163,32.78688524590166,955.8606167108918,999.8623275871082,5
0.1,2.0,472.39531331613136,881.3867869700115,1661.1641941264384,1611.0157330828372,1000.0000001441832,61.810105827540234,29.81010582754024,0.0002883709967136383,0.001,False,True,local,False,98,403,76,33,50,False,,,,0.1,1827.2806135390824,64498.79064767537,60,61,32.78688524590163,32.78688524590166,912.0933518047672,999.8623275871082,2
0.1,2.0,472.39531331613136,881.3867869700115,1661.1641941264384,1611.0157330828372,1000.0000001441832,61.810105827540234,29.81010582754024,0.0002883709967136383,0.001,False,True,local,False,98,403,76,33,50,False,,,,0.2,1993.397032951726,164471.9161515722,153,61,32.78688524590163,32.78688524590166,843.8261005693786,999.8623275871082,2
0.1,3.0,466.48233956496523,884.5305119459405,1676.294595918334,1610.9596628929003,999.9999998446756,62.19380122068637,30.193801220686368,-0.0003106441581621766,0.001,True,True,local,False,83,337,76,37,53,False,,,,0.01,1693.0575418775172,1074.979844127923,1,61,32.78688524590163,32.78688524590166,999.8623275871082,999.8623275871082,1
0.1,3.0,466.48233956496523,884.5305119459405,1676.294595918334,1610.9596628929003,999.9999998446756,62.19380122068637,30.193801220686368,-0.0003106441581621766,0.001,True,True,local,False,83,337,76,37,53,False,,,,0.03,1726.583433795884,12899.758129535076,12,61,32.78688524590163,32.78688524590166,970.7742354904191,999.8623275871082,4
0.1,3.0,466.48233956496523,884.5305119459405,1676.294595918334,1610.9596628929003,999.9999998446756,62.19380122068637,30.193801220686368,-0.0003106441581621766,0.001,True,True,local,False,83,337,76,37,53,False,,,,0.05,1760.1093257142506,24724.536414942228,23,61,32.78688524590163,32.78688524590166,955.8606167108918,999.8623275871082,4
0.1,3.0,466.48233956496523,884.5305119459405,1676.294595918334,1610.9596628929003,999.9999998446756,62.19380122068637,30.193801220686368,-0.0003106441581621766,0.001,True,True,local,False,83,337,76,37,53,False,,,,0.1,1843.9240555101674,67723.73018005914,63,61,32.78688524590163,32.78688524590166,912.0933518047672,999.8623275871082,2
0.1,3.0,466.48233956496523,884.5305119459405,1676.294595918334,1610.9596628929003,999.9999998446756,62.19380122068637,30.193801220686368,-0.0003106441581621766,0.001,True,True,local,False,83,337,76,37,53,False,,,,0.2,2011.5535151020006,165546.89599570012,154,61,32.78688524590163,32.78688524590166,843.8261005693786,999.8623275871082,2
