seed,branch,detector_x,detector_y,branch_source,sample_count,first_reception_rate,second_reception_rate,joint_reception_rate,finite_intersection_rate,rmse_m,mae_m,median_error_m,p95_error_m,max_error_m,hit_rate_5m,hit_rate_10m,hit_rate_20m,hit_rate_50m
0,branch_primary,-142.05819536707398,538.227970623566,optimiser,20,1.0,1.0,1.0,1.0,24.192740635605382,18.950706325909387,16.146885217724794,51.42807061993993,57.19135040193737,0.15,0.35,0.65,0.9
0,branch_opposite,421.48188153429294,-363.6246729401405,geometric_reflection,20,1.0,1.0,1.0,1.0,36.514234841006385,28.059093160052083,19.872202703752347,69.6034680288431,78.0721883885303,0.15,0.25,0.5,0.75
1,branch_primary,-142.05819536707398,538.227970623566,optimiser,20,1.0,1.0,1.0,1.0,30.047075228167227,23.103606017353364,16.551229597852643,64.29170678421916,80.20485074520192,0.05,0.25,0.65,0.9
1,branch_opposite,421.48188153429294,-363.6246729401405,geometric_reflection,20,1.0,1.0,1.0,1.0,27.182073195291817,21.33184146371715,14.587834695933676,62.15474363204966,65.7759068478165,0.0,0.25,0.6,0.9
