branch,seed_count,second_reception_rate_mean,second_reception_rate_std,joint_reception_rate_mean,joint_reception_rate_std,finite_intersection_rate_mean,finite_intersection_rate_std,rmse_m_mean,rmse_m_std,mae_m_mean,mae_m_std,median_error_m_mean,median_error_m_std,p95_error_m_mean,p95_error_m_std,hit_rate_5m_mean,hit_rate_5m_std,hit_rate_10m_mean,hit_rate_10m_std,hit_rate_20m_mean,hit_rate_20m_std,hit_rate_50m_mean,hit_rate_50m_std
branch_primary,2,1.0,0.0,1.0,0.0,1.0,0.0,27.119907931886303,2.9271672962809223,21.027156171631376,2.0764498457219887,16.34905740778872,0.20217219006392462,57.859888702079544,6.431818082139614,0.1,0.049999999999999996,0.3,0.04999999999999999,0.65,0.0,0.9,0.0
branch_opposite,2,1.0,0.0,1.0,0.0,1.0,0.0,31.848154018149103,4.666080822857284,24.695467311884617,3.363625848167466,17.23001869984301,2.6421840039093354,65.87910583044638,3.724362198396719,0.075,0.075,0.25,0.0,0.55,0.04999999999999999,0.825,0.07500000000000001
