experiment,grid_size,tau,threshold,cell_center_area,marching_area,accepted_cell_count,contour_count,closed_contour_count,open_contour_count,boundary_length,finite_node_count,reception_feasible_node_count
candidate_grid,11,0.05,3491.7532309677176,720672.5093629749,438554.8504389378,18,2,2,0,3946.010564784033,118,27
candidate_grid,21,0.05,3491.7532309677176,650607.1265082413,585634.4543613989,65,2,2,0,4416.680050648654,431,120
