x_star_m,y_star_m,L_star_m,beta_star_deg,J_star_m,success,trial,epsilon_w,p_w,J0_m
867.6626605845826,497.15340432031996,1000.0,29.811848768863474,1661.0543618649858,True,1,0.1,2.0,1580.8155914338774
867.5274368492835,497.389330719621,1000.0,29.8274292944697,1658.387739892935,True,2,0.10404040404040404,2.0,1580.8056611567902
867.3953398667354,497.6196583511051,1000.0,29.842642422441575,1655.7907862680709,True,3,0.10808080808080808,2.0,1580.7962817258158
867.2662546912475,497.8445977148052,1000.0,29.857501892616703,1653.2608049546488,True,4,0.11212121212121212,2.0,1580.787422013145
867.1400819931215,498.06433138798684,1000.0,29.87201961174234,1650.7952373000023,True,5,0.11616161616161616,2.0,1580.7790536102125
867.0167199193256,498.2790456966194,1000.0,29.886207744683126,1648.3916533911608,True,6,0.1202020202020202,2.0,1580.7711494363402
866.8960869890614,498.4888909123789,1000.0,29.90007608351473,1646.0477440560878,True,7,0.12424242424242425,2.0,1580.763685094373
866.7780822549747,498.6940506186014,1000.0,29.91363663075752,1643.7613134541193,True,8,0.12828282828282828,2.0,1580.7566362553343
866.6626266691941,498.8946697799577,1000.0,29.92689884517844,1641.5302722055796,True,9,0.13232323232323234,2.0,1580.7499811521673
866.5496411800625,499.09089289497655,1000.0,29.9398721624045,1639.3526310153309,True,10,0.13636363636363635,2.0,1580.7436991064692
866.4390330875631,499.2828876922269,1000.0,29.95256756161772,1637.22649474931,True,11,0.14040404040404042,2.0,1580.7377697667828
866.330745528714,499.47075925589735,1000.0,29.964991886856424,1635.1500569269447,True,12,0.14444444444444446,2.0,1580.7321757067252
866.2247060776712,499.6546393066436,1000.0,29.977153749606718,1633.1215945957579,True,13,0.1484848484848485,2.0,1580.7268995325435
866.120824731934,499.83468963815886,1000.0,29.98906375702168,1631.1394635575843,True,14,0.15252525252525254,2.0,1580.7219239025462
866.0190569798996,500.01099282680315,1000.0,30.00072728223207,1629.202093918554,True,15,0.15656565656565657,2.0,1580.7172345000945
865.9193298695606,500.1836804197546,1000.0,30.01215294297465,1627.3079859375123,True,16,0.1606060606060606,2.0,1580.7128163834527
865.8215892550021,500.3528510760605,1000.0,30.023347186277345,1625.4557061497799,True,17,0.16464646464646465,2.0,1580.708656179884
865.7257696626178,500.51862277248784,1000.0,30.034317742167804,1623.6438837451733,True,18,0.1686868686868687,2.0,1580.7047406907284
865.6318177027866,500.6810922938567,1000.0,30.045070942909877,1621.8712071810394,True,19,0.17272727272727273,2.0,1580.701057860379
865.5396816785483,500.840353246219,1000.0,30.055612914504387,1620.136421012695,True,20,0.17676767676767677,2.0,1580.6975962710492
865.4493059231983,500.9965058531391,1000.0,30.065950224997174,1618.438322925164,True,21,0.1808080808080808,2.0,1580.6943449094324
865.3606375583896,501.14964528026695,1000.0,30.076089111547518,1616.7757609514467,True,22,0.18484848484848487,2.0,1580.6912934052807
