x_star_m,y_star_m,L_star_m,beta_star_deg,J_star_m,success,trial,epsilon_w,p_w,J0_m
865.309643326944,501.23768929061697,1000.0,30.081918702840348,1569.0683959381713,True,1,0.3,1.0,1580.6896004554517
865.2941304667038,501.26446889827633,1000.0,30.083691908838176,1569.63224431367,True,2,0.3,1.02020202020202,1580.689094419434
865.2765532351899,501.2948098887815,1000.0,30.085700969454287,1570.1775458078098,True,3,0.3,1.0404040404040404,1580.6885260985064
865.2570198997762,501.3285245367137,1000.0,30.087933468221177,1570.704662793581,True,4,0.3,1.0606060606060606,1580.687900830074
865.23563633841,501.36542921313054,1000.0,30.0903772603922,1571.2139540476576,True,5,0.3,1.0808080808080809,1580.6872239349843
865.2124928155972,501.40536721880045,1000.0,30.093021984759368,1571.7057746036953,True,6,0.3,1.101010101010101,1580.6865002754762
865.187688037497,501.4481672798603,1000.0,30.0958563150932,1572.1804756184297,True,7,0.3,1.121212121212121,1580.6857349925083
865.1613096903475,501.4936771434738,1000.0,30.098870184681466,1572.6384042500054,True,8,0.3,1.1414141414141414,1580.6849328720446
865.1334425350328,501.54174961560585,1000.0,30.10205386163555,1573.0799035479943,True,9,0.3,1.1616161616161615,1580.6840985843085
865.1041755193176,501.5922303017082,1000.0,30.10539713683612,1573.505312354565,True,10,0.3,1.1818181818181819,1580.6832368754306
865.0735790616598,501.6449967949949,1000.0,30.108891919214507,1573.9149652162723,True,11,0.3,1.202020202020202,1580.6823518839938
865.041741039453,501.69989661094405,1000.0,30.1125281250932,1574.3091923059535,True,12,0.3,1.2222222222222223,1580.6814481827523
865.0087192580622,501.75682915883357,1000.0,30.11629910725201,1574.6883193542224,True,13,0.3,1.2424242424242424,1580.680529404067
864.9745960916015,501.8156515257082,1000.0,30.120195414611374,1575.0526675900744,True,14,0.3,1.2626262626262625,1580.6795997828656
864.9394299114805,501.8762622244681,1000.0,30.12421033925926,1575.4025536901208,True,15,0.3,1.2828282828282829,1580.6786627910528
864.9032914781054,501.93853845898263,1000.0,30.128335761016956,1575.7382897359926,True,16,0.3,1.303030303030303,1580.6777221332602
864.8662341775155,502.00238742420635,1000.0,30.132565545595394,1576.0601831794602,True,17,0.3,1.3232323232323233,1580.6767809506928
864.8283206664156,502.0677003884112,1000.0,30.136892502842468,1576.3685368148438,True,18,0.3,1.3434343434343434,1580.6758425173887
864.7896156231593,502.1343651955604,1000.0,30.14130921477598,1576.6636487582844,True,19,0.3,1.3636363636363638,1580.6749100289876
864.750157117234,502.20231557184104,1000.0,30.145811302367793,1576.9458124334817,True,20,0.3,1.3838383838383839,1580.6739859263437
864.7100122830117,502.2714352394667,1000.0,30.150391072754253,1577.2153165635057,True,21,0.3,1.404040404040404,1580.6730732256274
864.6692179282161,502.34166019493875,1000.0,30.15504429570563,1577.4724451683096,True,22,0.3,1.4242424242424243,1580.67217412359
864.6278293483992,502.4128946556561,1000.0,30.159764634480414,1577.7174775675842,True,23,0.3,1.4444444444444444,1580.6712911220613
864.5858894255131,502.48506426190863,1000.0,30.16454717095939,1577.950688388611,True,24,0.3,1.4646464646464648,1580.6704263315294
864.5434457470855,502.558086608659,1000.0,30.169386453008848,1578.1723475787883,True,25,0.3,1.4848484848484849,1580.6695818455378
864.500531342749,502.63190438740025,1000.0,30.174278690833187,1578.3827204225076,True,26,0.3,1.5050505050505052,1580.6687593575828
864.4571903417537,502.7064412422433,1000.0,30.179218831525443,1578.5820675620864,True,27,0.3,1.5252525252525253,1580.6679606746982
864.4134638953767,502.7816259932301,1000.0,30.18420216431788,1578.7706450224637,True,28,0.3,1.5454545454545454,1580.6671874298925
864.3693879894433,502.85739639261084,1000.0,30.189224569635037,1578.9487042393926,True,29,0.3,1.5656565656565657,1580.6664410543292
864.324985470263,502.93371282091425,1000.0,30.19428342713303,1579.1164920908561,True,30,0.3,1.5858585858585859,1580.6657226685636
864.280305081246,503.0104911914546,1000.0,30.199373168106295,1579.2742509314737,True,31,0.3,1.606060606060606,1580.6650337178135
864.235370539323,503.08769047628175,1000.0,30.20449107737547,1579.4222186296424,True,32,0.3,1.6262626262626263,1580.6643751449037
864.190216476821,503.16525093228114,1000.0,30.209633198408937,1579.5606286072073,True,33,0.3,1.6464646464646466,1580.6637479699734
864.1448680964501,503.2431290564919,1000.0,30.21479665064743,1579.6897098814338,True,34,0.3,1.6666666666666667,1580.6631529884887
864.0993551159889,503.3212736296093,1000.0,30.219978041296148,1579.8096871090856,True,35,0.3,1.6868686868686869,1580.6625909735212
864.0537063923472,503.3996349518418,1000.0,30.225174077617133,1579.920780632416,True,36,0.3,1.7070707070707072,1580.662062597514
864.0079381725076,503.47818500397057,1000.0,30.230382903909373,1580.0232065268872,True,37,0.3,1.7272727272727273,1580.6615683127352
863.9620822927843,503.55686904292776,1000.0,30.23560089182673,1580.117176650454,True,38,0.3,1.7474747474747474,1580.6611086715516
863.9161597869975,503.63565090141026,1000.0,30.2408256442198,1580.2028986942378,True,39,0.3,1.7676767676767677,1580.6606840318768
863.8701925165568,503.7144930229893,1000.0,30.246054671298495,1580.280576234448,True,40,0.3,1.787878787878788,1580.6602946929497
863.8242056700509,503.793352177761,1000.0,30.25128510643331,1580.3504087854008,True,41,0.3,1.8080808080808082,1580.6599409103326
863.7782115357342,503.872207286856,1000.0,30.256515551697863,1580.4125918535008,True,42,0.3,1.8282828282828283,1580.6596227770842
863.7322376785854,503.95101110598404,1000.0,30.261742873181767,1580.467316992054,True,43,0.3,1.8484848484848486,1580.6593404360203
