trial,epsilon_w,beta_from_epsilon_deg,p_w,beta_from_p_deg,tau,candidate_area_m2
1,0.2903680444102631,30.28566076870682,2.06284861237433,30.316583816057438,0.05137191010039331,29916.848026487118
2,0.30419739497145465,30.307043134178496,1.926952290324226,30.28198709923099,0.05076049058432978,29427.932555135743
3,0.29901805203430454,30.29916481064446,2.0231016548717733,30.306545746604336,0.04853211340031406,27658.65948650411
4,0.2961150158132414,30.294677415186317,1.9805666951059147,30.295723796656755,0.05122220945296958,29797.141408242416
5,0.2956475200292895,30.29395084828456,2.0532072682932565,30.31415703137649,0.05135768518953372,29905.47321947634
6,0.3087155473755979,30.313796638266997,1.9135428721241081,30.27853678076677,0.05135120732786227,29900.29326249224
7,0.3121543151003152,30.31886005452605,2.0213628762068407,30.306104719534062,0.04789186452461093,27145.601692439217
8,0.29032059575469144,30.285585897712007,2.0714157379973295,30.318739457956358,0.048560695744128864,27681.311282988758
9,0.30458354408055394,30.307625421160196,2.0256695724726184,30.307197078023936,0.05197692513566311,30400.642219135796
10,0.2939490830206671,30.291311192147443,1.964267539090704,30.29155828632762,0.051897160299358557,30336.85906940877
11,0.3140088660048717,30.321574464401344,2.0311592111843777,30.308588652619104,0.048527863287983364,27655.291229506867
12,0.31259550481611836,30.31950580100759,1.9676305685472022,30.292419354812754,0.05025687829157358,29025.55310285044
13,0.30407612412433954,30.306860265867083,2.0337185576820183,30.309235336054808,0.048813416292238405,27881.594872758615
14,0.3075819629123726,30.312112702265186,1.9256688802884105,30.281656870635114,0.04958142385783065,28490.248634227006
15,0.3004546108896705,30.301363689780526,1.9559983488391786,30.289441046733003,0.04760472422081203,26914.740093603985
16,0.3097768577512671,30.315373211348813,1.906543675639383,30.276734592457096,0.04890880118368376,27957.18836371687
17,0.29845141636200306,30.298297485680415,1.916781877792538,30.279370195080258,0.04885340450722955,27913.285937481396
18,0.29516437359941283,30.2931999576526,2.010953923963301,30.30346457343314,0.052095652454760374,30495.58132666126
19,0.29333697646500473,30.290345556795963,1.9463396442784613,30.286965842910412,0.05043985108316413,29171.536400404588
20,0.29178999170530207,30.28790451212309,2.0032165175275463,30.30149606115612,0.04838758246715808,27544.11726054819
21,0.30077450530035743,30.301853338459225,2.031913906614568,30.308779345451885,0.049637822712706704,28534.945296995356
22,0.2979273618205329,30.29749410502317,2.076237235869905,30.31994791808852,0.04996468081094977,28793.983644890577
23,0.30489541861417785,30.308095707059024,1.9710122029177077,30.293284253023806,0.050686800587130286,29369.007089447914
24,0.2853852144710042,30.277675192507154,1.963735793287749,30.291422138381566,0.0501622392492418,28950.55070485637
25,0.29843105704616163,30.298266322547306,1.9627333483127616,30.291165472840213,0.04960496353672172,28508.904067770498
26,0.29595542403397174,30.2944293827792,1.9235699289048789,30.281116798679268,0.04905396505887653,28072.232202636962
27,0.29086192799614663,30.286440085948815,2.032636672931453,30.308961970588985,0.05037499754400944,29119.676919587288
28,0.3028459761301816,30.305005285120824,2.063930916287442,30.316856238505427,0.05237916006835365,30730.444193489744
29,0.29805939467851933,30.297697434873253,1.9946009721725977,30.299303311942463,0.05026493482193108,29031.937984622662
30,0.2939997451123545,30.29138992953986,2.0116594793897096,30.303643531830147,0.05193506073359223,30367.16577075039
31,0.2912824836370866,30.287103696304715,2.0916960227391237,30.323821628407824,0.04757636217591825,26891.936931025313
32,0.3112387217157654,30.317519948024433,2.039783034330498,30.310767679017513,0.04851548701411498,27645.482907323032
33,0.308923869465643,30.314106100048434,2.0490069773295305,30.313098340830926,0.051823839896615244,30278.22914621346
34,0.3032012903005494,30.305541075081084,2.077899671460906,30.320364590912423,0.05034736448497385,29097.580421637325
35,0.29535301736001873,30.293493141714112,1.9431581152168238,30.286149033834114,0.049937790393185195,28772.672716908713
36,0.31340459372938945,30.320690022444047,2.030033211664138,30.30830387962392,0.04934402144340665,28302.104820292803
37,0.30190132123507635,30.30357810736778,2.0434789010652787,30.31170153295255,0.0489763285644475,28010.70449577771
38,0.29798288218859853,30.297580320480684,2.0684455859447053,30.31799260819327,0.05089414898276775,29534.811150201032
39,0.3120134879701267,30.31865393316699,1.9687571092003788,30.292707793753365,0.049328675277900004,28289.942828955474
40,0.29458025411705585,30.292292137952142,2.0377589411426094,30.310256240828846,0.049676173537033075,28565.338713059766
41,0.3058798461040135,30.30958015774984,2.020880121160521,30.305982272641867,0.051384241439637934,29926.708657986084
42,0.2944146098178711,30.292034698913366,1.9818722067645331,30.296057132284833,0.05223091486260398,30604.194462947893
43,0.292846591389354,30.28957175998312,1.9203371514164327,30.2802849869114,0.05246828426707323,30806.34483402786
44,0.30602522668502563,30.309799381924442,1.970609686756628,30.293181478777036,0.049924576185035666,28762.200323334262
45,0.2918367593672207,30.28797830855274,2.092696949624096,30.324071381757395,0.04819084527500254,27385.983043100132
46,0.29979330968954643,30.30035146434599,1.9433047003225596,30.28618666732496,0.047624618012175525,26930.734756910766
47,0.3024008535906167,30.30433407015763,1.922727598717635,30.280900062400733,0.049973283527790444,28800.801384973496
48,0.2906671909426337,30.28613280312388,1.9735358849474016,30.29392862347342,0.04788177495742664,27137.489652502976
49,0.30693721975075333,30.31115493841344,1.9201961584211964,30.280248708623446,0.04808856539991172,27303.749740496012
50,0.3014544919387389,30.302894164894116,1.9534397863672543,30.28878595359739,0.04867419539744925,27771.26090590105
51,0.30364509778877813,30.30621030703498,2.082891224420585,30.321615673648278,0.052459965489707494,30799.26033240401
52,0.29616432950390487,30.294754056937258,1.963756416289116,30.291427418685164,0.04831114278760283,27482.70257612067
53,0.297605797797619,30.29699434056782,2.0171779029093653,30.30504323508536,0.04805066059498708,27273.2741724456
54,0.29984489033751166,30.300430416635493,1.9477489559109902,30.287327662183625,0.05207961887238476,30482.760233649555
55,0.2990991273721851,30.29928890919305,2.033595984879701,30.30920436494519,0.0506103487047642,29307.87311004312
56,0.3052691766854887,30.30865930918603,1.9255312775329765,30.28162146467486,0.0511995035117542,29778.98483054063
57,0.30231532513488596,30.304205098977423,2.057961876655101,30.315353795089038,0.04927366727735182,28246.348432305636
58,0.297488119289774,30.296811448418236,1.9845892089543185,30.29675086307264,0.052169162544945975,30554.36293151347
59,0.28505407060820454,30.277136221120426,1.9367320774182861,30.284499246610167,0.052380503176785345,30731.588021897096
60,0.30882093182326514,30.31395318651833,2.0516499131296984,30.313765035652455,0.05029227850888936,29053.608133023783
61,0.3005815266343301,30.301557954277193,2.0108565078054466,30.303439864616795,0.05243420138263944,30777.318903954136
62,0.29479633991433807,30.292627971543876,1.9876290020661938,30.297527011902474,0.05002897176409379,28844.93487533753
63,0.29999865067233583,30.300665770997018,1.9481252083627547,30.287424259263716,0.04969870141967213,28583.19228784272
64,0.2878033780048385,30.281562293560043,2.0562731786389437,30.31492873957376,0.05142717000729951,29961.03605569139
65,0.31214112217660056,30.318840744728554,1.973057011340692,30.293806352918875,0.050721238346651695,29396.544897755208
66,0.3146920850275351,30.322562669365063,1.9086181381269192,30.277269386022688,0.04850265178341618,27635.310857210327
67,0.2867620565254675,30.279893516974806,2.093073853968936,30.32416542771021,0.05007469642997841,28881.172135397723
68,0.2957469365577414,30.294105358253507,1.9060929616249789,30.276618399006374,0.04758229729743242,26896.708785146508
69,0.3069019373345725,30.311102526499937,1.9240938155247749,30.28125159764301,0.051878299257815896,30321.777027089647
70,0.29442714393653646,30.292054179037205,1.9931625061990759,30.298937206837984,0.05021222943098186,28990.168429362915
71,0.3020114927509335,30.303746742190295,1.9415709883143868,30.285741563201587,0.04773093514271716,27016.214024069326
