trial,tau,candidate_area_m2,L_min_m,L_max_m,grid_cells
1,0.01,2778.402564614589,990.2777777777778,998.6111111111111,138
2,0.01191919191919192,3660.217479948356,987.5,998.6111111111111,182
3,0.013838383838383839,4600.953051586448,984.7222222222223,998.6111111111111,229
4,0.01575757575757576,5580.013742537416,981.9444444444445,998.6111111111111,278
5,0.017676767676767676,6617.826504223882,979.1666666666667,998.6111111111111,330
6,0.019595959595959597,7554.74080296861,976.388888888889,998.6111111111111,377
7,0.021515151515151515,8689.293583565803,976.388888888889,998.6111111111111,434
8,0.023434343434343433,9860.878994114897,973.6111111111112,998.6111111111111,493
9,0.025353535353535354,11110.463327840327,970.8333333333334,998.6111111111111,556
10,0.027272727272727275,12299.328759193966,968.0555555555555,998.6111111111111,616
11,0.029191919191919193,13486.508334859358,968.0555555555555,998.6111111111111,676
12,0.03111111111111111,14810.326514057375,965.2777777777778,998.6111111111111,743
13,0.03303030303030303,16170.783956880017,962.5,998.6111111111111,812
14,0.03494949494949495,17451.331840079627,959.7222222222223,998.6111111111111,877
15,0.03686868686868687,18770.1486474025,959.7222222222223,998.6111111111111,944
16,0.03878787878787879,20262.636688209903,956.9444444444445,998.6111111111111,1020
17,0.040707070707070706,21714.439411740866,954.1666666666667,998.6111111111111,1094
18,0.04262626262626263,22970.401899486842,954.1666666666667,998.6111111111111,1158
19,0.04454545454545455,24475.168589223653,951.3888888888889,998.6111111111111,1235
20,0.046464646464646465,25998.114422798753,948.6111111111112,998.6111111111111,1313
21,0.04838383838383838,27541.15003665883,945.8333333333334,998.6111111111111,1392
22,0.05030303030303031,29062.12903859764,945.8333333333334,998.6111111111111,1470
23,0.052222222222222225,30596.791569206092,943.0555555555555,998.6111111111111,1549
24,0.05414141414141414,32231.228658964108,940.2777777777777,998.6111111111111,1633
25,0.05606060606060606,33669.375951420254,940.2777777777777,998.6111111111111,1707
26,0.05797979797979798,35333.203125343425,937.5,998.6111111111111,1793
27,0.0598989898989899,36980.93037744381,934.7222222222223,998.6111111111111,1878
28,0.06181818181818182,38570.07414437751,934.7222222222223,998.6111111111111,1960
29,0.06373737373737373,40227.04550516846,931.9444444444445,998.6111111111111,2046
30,0.06565656565656565,41869.0970431184,929.1666666666667,998.6111111111111,2131
31,0.06757575757575758,43504.62993907378,929.1666666666667,998.6111111111111,2216
32,0.0694949494949495,45314.733191547406,926.3888888888889,998.6111111111111,2310
33,0.07141414141414142,46933.15465226704,923.6111111111112,998.6111111111111,2394
34,0.07333333333333333,48676.526117080786,923.6111111111112,998.6111111111111,2485
35,0.07525252525252525,50516.91857675329,920.8333333333334,998.6111111111111,2581
36,0.07717171717171717,52010.36193578402,920.8333333333334,998.6111111111111,2659
37,0.07909090909090909,53846.31497547748,918.0555555555557,998.6111111111111,2755
38,0.081010101010101,55561.05499118578,915.2777777777778,998.6111111111111,2845
39,0.08292929292929292,57420.07615621345,915.2777777777778,998.6111111111111,2942
40,0.08484848484848484,59187.66774774839,912.5000000000001,998.6111111111111,3035
41,0.08676767676767676,60889.73574820002,912.5000000000001,998.6111111111111,3124
42,0.08868686868686868,62766.626983523136,909.7222222222222,998.6111111111111,3223
43,0.0906060606060606,64611.20598482147,906.9444444444445,998.6111111111111,3320
44,0.09252525252525252,66335.52728035799,906.9444444444445,998.6111111111111,3411
45,0.09444444444444444,68173.81242042019,904.1666666666666,998.6111111111111,3508
46,0.09636363636363636,69878.15632605096,904.1666666666666,998.6111111111111,3598
47,0.09828282828282828,71882.86352013818,901.3888888888889,998.6111111111111,3704
48,0.1002020202020202,73697.18141183244,898.6111111111111,998.6111111111111,3800
49,0.10212121212121211,75678.76428539585,898.6111111111111,998.6111111111111,3905
50,0.10404040404040403,77505.58560677795,895.8333333333334,998.6111111111111,4002
51,0.10595959595959595,79352.83387958267,895.8333333333334,998.6111111111111,4100
52,0.10787878787878788,81265.4933530915,893.0555555555557,998.6111111111111,4202
53,0.1097979797979798,83074.19172582492,893.0555555555557,998.6111111111111,4298
54,0.11171717171717171,85054.56640281175,890.2777777777778,998.6111111111111,4404
55,0.11363636363636363,86935.98135089832,887.5000000000001,998.6111111111111,4504
56,0.11555555555555555,88763.3365265817,887.5000000000001,998.6111111111111,4602
57,0.11747474747474747,90784.78988717223,884.7222222222223,998.6111111111111,4710
58,0.11939393939393939,92595.65177470555,884.7222222222223,998.6111111111111,4807
59,0.1213131313131313,94591.95778794636,881.9444444444445,998.6111111111111,4914
60,0.12323232323232322,96475.1428845056,881.9444444444445,998.6111111111111,5015
61,0.12515151515151515,98447.7064301369,879.1666666666666,998.6111111111111,5121
62,0.12707070707070708,100253.84792174313,879.1666666666666,998.6111111111111,5218
63,0.128989898989899,102372.68754592487,876.3888888888889,998.6111111111111,5332
64,0.13090909090909092,104194.9289593539,876.3888888888889,998.6111111111111,5430
65,0.13282828282828282,106286.14864784313,873.6111111111111,998.6111111111111,5543
66,0.13474747474747475,108126.40061954163,873.6111111111111,998.6111111111111,5642
67,0.1366666666666667,110172.43937558579,870.8333333333334,998.6111111111111,5753
68,0.1385858585858586,112083.89065251802,870.8333333333334,998.6111111111111,5856
69,0.14050505050505052,114145.97313519537,868.0555555555555,998.6111111111111,5968
70,0.14242424242424243,116088.33176641217,865.2777777777778,998.6111111111111,6073
71,0.14434343434343436,118090.3134938034,865.2777777777778,998.6111111111111,6182
72,0.14626262626262626,120103.19708797865,862.5,998.6111111111111,6291
73,0.1481818181818182,122177.22104844775,862.5,998.6111111111111,6404
74,0.1501010101010101,123994.32060202761,859.7222222222223,998.6111111111111,6503
75,0.15202020202020203,126090.00780809073,859.7222222222223,998.6111111111111,6617
76,0.15393939393939396,128010.00075384341,856.9444444444445,998.6111111111111,6722
77,0.15585858585858586,129987.84664729788,856.9444444444445,998.6111111111111,6830
78,0.1577777777777778,132038.46531129512,854.1666666666667,998.6111111111111,6942
79,0.1596969696969697,134084.5883601237,854.1666666666667,998.6111111111111,7054
80,0.16161616161616163,136042.17588772433,851.388888888889,998.6111111111111,7161
81,0.16353535353535353,138154.27208915312,851.388888888889,998.6111111111111,7277
82,0.16545454545454547,140098.00750251533,848.6111111111111,998.6111111111111,7383
83,0.16737373737373737,142202.2363773989,848.6111111111111,998.6111111111111,7499
84,0.1692929292929293,144173.67601923802,848.6111111111111,998.6111111111111,7607
85,0.17121212121212123,146326.42944034838,845.8333333333334,998.6111111111111,7726
86,0.17313131313131314,148169.0978052,845.8333333333334,998.6111111111111,7827
87,0.17505050505050507,150359.16483221028,843.0555555555555,998.6111111111111,7948
88,0.17696969696969697,152322.23139079777,843.0555555555555,998.6111111111111,8056
89,0.1788888888888889,154445.17326382094,840.2777777777778,998.6111111111111,8174
90,0.1808080808080808,156480.05727472785,840.2777777777778,998.6111111111111,8286
91,0.18272727272727274,158589.82137578784,837.5,998.6111111111111,8403
92,0.18464646464646464,160546.2569020015,837.5,998.6111111111111,8511
93,0.18656565656565657,162700.27471487806,834.7222222222223,998.6111111111111,8631
94,0.1884848484848485,164649.68584239073,834.7222222222223,998.6111111111111,8739
95,0.1904040404040404,166736.04464697884,831.9444444444445,998.6111111111111,8855
96,0.19232323232323234,168787.00048211374,831.9444444444445,998.6111111111111,8969
97,0.19424242424242424,170687.07223315028,829.1666666666667,998.6111111111111,9075
98,0.19616161616161618,172942.2694849166,829.1666666666667,998.6111111111111,9200
99,0.19808080808080808,174880.32918412838,829.1666666666667,998.6111111111111,9308
100,0.2,177112.76738410332,826.3888888888889,998.6111111111111,9433
