layout_name,ring_points,ring_radius,case_count,success_count,mean_clear_ratio,mean_virtual_time_s,std_virtual_time_s,pooled_time_per_source_s,mean_distance_m,mean_measure_count,mean_program_runtime_s,failed_clear_attempts
ring6_1123,6,1123.0,1,1,1.0,3029.793715148139,0.0,302.9793715148139,11763.9685757407,106.0,2.1410000000032596,1
ring7_998,7,998.0,1,1,1.0,2733.4600098848964,0.0,273.34600098848966,9992.300049424486,115.0,2.0160000000032596,1
ring8_939,8,939.0,1,1,1.0,2575.491448516419,0.0,257.5491448516419,8962.457242582095,121.0,1.7650000000139698,5
ring9_904,9,904.0,1,1,1.0,2825.677552257773,0.0,282.5677552257773,9978.387761288866,130.0,1.7650000000139698,3
ring10_881,10,881.0,1,1,1.0,2772.4410251526624,0.0,277.24410251526626,9467.205125763312,138.0,1.6089999999967404,3
