layout_name,ring_points,ring_radius,case,seed,true_total,total,cleared_count,cleared,success,status,clear_ratio,virtual_time_s,average_clear_time_s,distance_m,measure_count,failed_clear_attempts,program_runtime_s,probe_attempts,probe_successes,exact_routes,approximate_routes,error
ring6_1123,6,1123.0,1,2026091401,10,10,10,10,True,complete,1.0,3029.793715148139,302.9793715148139,11763.9685757407,106,1,2.1410000000032596,4,3,26,11,
ring7_998,7,998.0,1,2026091401,10,10,10,10,True,complete,1.0,2733.4600098848964,273.34600098848966,9992.300049424486,115,1,2.0160000000032596,3,2,21,11,
ring8_939,8,939.0,1,2026091401,10,10,10,10,True,complete,1.0,2575.491448516419,257.5491448516419,8962.457242582095,121,5,1.7650000000139698,5,0,14,19,
ring9_904,9,904.0,1,2026091401,10,10,10,10,True,complete,1.0,2825.677552257773,282.5677552257773,9978.387761288866,130,3,1.7650000000139698,5,2,16,13,
ring10_881,10,881.0,1,2026091401,10,10,10,10,True,complete,1.0,2772.4410251526624,277.24410251526626,9467.205125763312,138,3,1.6089999999967404,6,3,13,16,
