experiment,setting,seed,use_global_search,circle_sides,quadrature_order,candidate_grid,region_area,inradius,point_x,point_y,j_star,distance_from_s1,reception_h,h_tolerance,strict_feasible,feasible_with_tolerance,source,branch,local_run_count,local_success_count,local_feasible_count,selected_iterations,selected_function_evaluations,elapsed_s,global_objective,global_h,global_feasible,global_iterations,global_function_evaluations,global_branch,native_j_star,reference_order,j_at_reference_order,delta_j_native_vs_last,relative_j_native_vs_last
quadrature_order,3,0,False,360,3,101,39270.90505841475,25.729566798698897,999.4891362483127,31.95990642343805,1609.7056971814527,999.9999845484964,-0.03090300236362964,0.001,True,True,local,negative_side,16,3,10,36,146,19.012218599993503,,,,,,,1609.7056971814527,8,1610.4271486567181,-0.7189559875121176,0.0004464387614144933
quadrature_order,4,0,False,360,4,101,39270.90505841475,25.729566798698897,999.4427984302173,33.3776717631987,1609.2055020961045,999.9999881531778,-0.023693639552220702,0.001,True,True,local,negative_side,16,2,11,37,149,18.985536399995908,,,,,,,1609.2055020961045,8,1610.4249377068577,-1.2191510728603134,0.0007570370153370974
quadrature_order,5,0,False,360,5,101,39270.90505841475,25.729566798698897,999.4550820211657,33.008165723934255,1609.6625642004067,999.9999999911969,-1.7601530998945236e-05,0.001,True,True,local,negative_side,16,1,10,60,245,19.52046229998814,,,,,,,1609.6625642004067,8,1610.4246513301493,-0.762088968558146,0.0004732223684346368
quadrature_order,6,0,False,360,6,101,39270.90505841475,25.729566798698897,999.4569327707653,32.95207776292434,1610.954743391885,999.9999999462199,-0.00010755541734397411,0.001,True,True,local,negative_side,16,2,12,50,201,19.984192900010385,,,,,,,1610.954743391885,8,1610.4246625440533,0.5300902229200801,0.00032916176604535835
quadrature_order,8,0,False,360,8,101,39270.90505841475,25.729566798698897,999.45338327954,33.05956212624775,1610.4246531689648,999.9999999984492,-3.096996806561947e-06,0.001,True,True,local,negative_side,16,2,9,46,191,19.59099110000534,,,,,,,1610.4246531689648,8,1610.4246531689648,0.0,0.0
