experiment,setting,seed,use_global_search,circle_sides,quadrature_order,candidate_grid,region_area,inradius,point_x,point_y,j_star,distance_from_s1,reception_h,h_tolerance,strict_feasible,feasible_with_tolerance,source,branch,local_run_count,local_success_count,local_feasible_count,selected_iterations,selected_function_evaluations,elapsed_s,global_objective,global_h,global_feasible,global_iterations,global_function_evaluations,global_branch,native_j_star,reference_order,j_at_reference_order,delta_j_native_vs_last,relative_j_native_vs_last
circle_sides,32,0,False,32,6,101,39310.56832539652,25.741366868468162,466.1870699753847,884.639933534718,1611.2814594315362,999.9590972717557,-81.80378345493227,0.0010004669113878326,True,True,local,positive_side,16,1,12,60,233,3.453204799996456,,,,,,,1611.2814594315362,8,1614.1235210613036,0.3267160396512736,0.0002028089497805314
circle_sides,64,0,False,64,6,101,39310.56832539636,25.741366868468162,466.18628559255376,884.6403868476445,1611.281418605272,999.9591326231949,-81.73308346990962,0.0010004669113878332,True,True,local,positive_side,16,1,14,60,233,5.169509900006233,,,,,,,1611.281418605272,8,1614.1234773859392,0.3266752133870341,0.00020278360688098253
circle_sides,128,0,False,128,6,101,39280.157907586916,25.73391552363813,466.54990424944754,884.4469118429696,1607.8829682402916,999.9575756119528,-84.84697626053821,0.0010000797381945088,True,True,local,positive_side,16,1,10,60,233,8.670140000001993,,,,,,,1607.8829682402916,8,1613.359957009613,-3.0717751515933287,0.0019068041260586058
circle_sides,180,0,False,180,6,101,39273.89608848644,25.729566798698897,999.4690974510877,32.58102209752872,1609.7727473216096,999.9999998803057,-0.00023932999465614557,0.001,True,True,local,negative_side,16,3,11,55,230,11.457943899993552,,,,,,,1609.7727473216096,8,1612.6732651739694,-1.1819960702753178,0.000733723945457717
circle_sides,360,0,False,360,6,101,39270.90505841475,25.729566798698897,999.4569327707653,32.95207776292434,1610.954743391885,999.9999999462199,-0.00010755541734397411,0.001,True,True,local,negative_side,16,2,12,50,201,19.85698599999887,,,,,,,1610.954743391885,8,1610.4246625440533,0.0,0.0
