branch,seed_count,second_reception_rate_mean,second_reception_rate_std,joint_reception_rate_mean,joint_reception_rate_std,finite_intersection_rate_mean,finite_intersection_rate_std,rmse_m_mean,rmse_m_std,mae_m_mean,mae_m_std,median_error_m_mean,median_error_m_std,p95_error_m_mean,p95_error_m_std,hit_rate_5m_mean,hit_rate_5m_std,hit_rate_10m_mean,hit_rate_10m_std,hit_rate_20m_mean,hit_rate_20m_std,hit_rate_50m_mean,hit_rate_50m_std
branch_primary,3,1.0,0.0,1.0,0.0,1.0,0.0,16.167510054302912,0.14274174171194703,13.774383382065466,0.07192616988374768,11.730904381562278,0.06024101662028876,30.79504861966026,0.36324044880754874,0.09700000000000002,0.0029439202887759515,0.3866666666666667,0.005792715732327594,0.8113333333333334,0.01114550233153362,0.999,0.0008164965809277268
branch_opposite,3,1.0,0.0,1.0,0.0,1.0,0.0,16.27307038078418,0.2622256480800366,13.745966150388668,0.14723887500344146,11.667670088428737,0.1306855151532213,31.589227494706353,0.4973187012802872,0.11133333333333333,0.005436502143433362,0.3986666666666667,0.002624669291337273,0.8093333333333333,0.006548960901462796,0.9976666666666668,0.0020548046676563273
