seed,branch,detector_x,detector_y,branch_source,sample_count,first_reception_rate,second_reception_rate,joint_reception_rate,finite_intersection_rate,rmse_m,mae_m,median_error_m,p95_error_m,max_error_m,hit_rate_5m,hit_rate_10m,hit_rate_20m,hit_rate_50m
0,branch_primary,999.45338327954,33.05956212624775,optimiser,1000,1.0,1.0,1.0,1.0,16.30848124611103,13.875539172889358,11.803911345740808,30.42162795244403,57.939166832956694,0.094,0.388,0.799,0.998
0,branch_opposite,467.8452634028042,883.8103922835819,geometric_reflection,1000,1.0,1.0,1.0,1.0,15.92280969901463,13.552655964198653,11.76713940412239,31.06799248701706,47.94491880614487,0.119,0.395,0.817,1.0
1,branch_primary,999.45338327954,33.05956212624775,optimiser,1000,1.0,1.0,1.0,1.0,15.971891930451125,13.71454857797334,11.732426647476771,30.676254142427847,49.0880355461828,0.096,0.379,0.826,1.0
1,branch_opposite,467.8452634028042,883.8103922835819,geometric_reflection,1000,1.0,1.0,1.0,1.0,16.553706773017872,13.909645928524375,11.752833344698,31.440914214635157,54.39412219803719,0.108,0.401,0.801,0.995
2,branch_primary,999.45338327954,33.05956212624775,optimiser,1000,1.0,1.0,1.0,1.0,16.222156986346594,13.733062395333697,11.656375151469259,31.287263764108896,53.84366933059165,0.101,0.393,0.809,0.999
2,branch_opposite,467.8452634028042,883.8103922835819,geometric_reflection,1000,1.0,1.0,1.0,1.0,16.34269467032004,13.775596558442974,11.483037516465822,32.25877578246684,52.83798662718819,0.107,0.4,0.81,0.998
