experiment,grid_size,tau,threshold,cell_center_area,marching_area,accepted_cell_count,contour_count,closed_contour_count,open_contour_count,boundary_length,finite_node_count,reception_feasible_node_count
candidate_grid,31,0.05,1690.9458858274131,22222.22222222223,8044.141806829648,5,3,3,0,759.1744540531665,941,272
candidate_grid,51,0.05,1690.9458858274131,30400.0,9043.79535680644,19,4,4,0,1115.5479700000242,2547,754
candidate_grid,81,0.05,1690.9458858274131,28750.0,18038.950156356015,46,4,4,0,1342.295949249008,6425,1941
candidate_grid,121,0.05,1690.9458858274131,27500.000000000015,21668.143224202737,99,3,3,0,1471.3950690957224,14335,4371
candidate_grid,161,0.05,1690.9458858274131,27187.5,22862.61219590709,174,2,2,0,1438.6391151328876,25381,7750
