试验序号,基础权重_epsilon_w,epsilon对应_J0_米,epsilon对应_J0相对基准变化_pct,形状参数_p_w,p对应_J0_米,p对应_J0相对基准变化_pct
1,0.1,1580.8155914338774,0.00994748353884134,1.0,1580.6896004554517,0.0019766922561448297
2,0.104040404040404,1580.8056611567902,0.009319246763239697,1.02020202020202,1580.689094419434,0.0019446779998100183
3,0.108080808080808,1580.7962817258158,0.008725859144687043,1.0404040404040404,1580.6885260985064,0.001908723302479487
4,0.1121212121212121,1580.787422013145,0.008165351389255449,1.0606060606060606,1580.687900830074,0.0018691658339120565
5,0.1161616161616161,1580.7790536102125,0.007635926235338708,1.0808080808080809,1580.6872239349843,0.0018263422163267151
6,0.1202020202020202,1580.7711494363402,0.007135870429864077,1.101010101010101,1580.6865002754762,0.0017805600581732861
7,0.1242424242424242,1580.763685094373,0.006663640492243772,1.121212121212121,1580.6857349925083,0.0017321446010853947
8,0.1282828282828282,1580.7566362553343,0.006217697255150867,1.1414141414141414,1580.6849328720446,0.001681398627995101
9,0.1323232323232323,1580.7499811521673,0.005796663630586174,1.1616161616161615,1580.6840985843085,0.0016286175995805507
10,0.1363636363636363,1580.7436991064692,0.00539923140399079,1.181818181818182,1580.6832368754306,0.001574101778700765
11,0.1404040404040404,1580.7377697667828,0.005024113044904688,1.202020202020202,1580.6823518839938,0.0015181129918939718
12,0.1444444444444444,1580.7321757067252,0.004670206077128647,1.2222222222222223,1580.6814481827523,0.001460940533459798
13,0.1484848484848485,1580.7268995325437,0.004336410088745524,1.2424242424242424,1580.680529404067,0.001402814203887992
14,0.1525252525252525,1580.7219239025462,0.004021627961448004,1.2626262626262623,1580.6795997828656,0.001344001924930005
15,0.1565656565656565,1580.7172345000945,0.0037249539562855816,1.2828282828282829,1580.6786627910528,0.0012847233458845864
16,0.1606060606060606,1580.7128163834527,0.0034454427876751126,1.303030303030303,1580.6777221332602,0.0012252128394507622
17,0.1646464646464646,1580.708656179884,0.0031822484323873468,1.323232323232323,1580.6767809506928,0.0011656691332406766
18,0.1686868686868687,1580.7047406907284,0.0029345358801169397,1.3434343434343434,1580.675842517389,0.001106299358588636
19,0.1727272727272727,1580.701057860379,0.0027015424355569806,1.3636363636363638,1580.6749100289876,0.0010473056868631758
20,0.1767676767676767,1580.6975962710492,0.0024825457550115004,1.383838383838384,1580.6739859263437,0.0009888425382298394
21,0.1808080808080808,1580.6943449094324,0.0022768490840707756,1.404040404040404,1580.6730732256274,0.0009311007300283336
22,0.1848484848484848,1580.6912934052807,0.0020837963512709834,1.4242424242424243,1580.67217412359,0.000874219239199725
23,0.1888888888888888,1580.6884324035905,0.0019027957144368557,1.4444444444444444,1580.6712911220611,0.0008183563434904784
24,0.1929292929292929,1580.685752259069,0.0017332369662170777,1.4646464646464648,1580.6704263315294,0.0007636455624737692
25,0.1969696969696969,1580.683244697992,0.0015745966713165416,1.4848484848484849,1580.6695818455378,0.0007102193436692161
26,0.201010101010101,1580.6809010809372,0.0014263282585691428,1.5050505050505052,1580.6687593575828,0.0006581848257747325
27,0.205050505050505,1580.6787138415375,0.0012879530434606323,1.5252525252525253,1580.6679606746982,0.0006076563303647475
28,0.2090909090909091,1580.6766752594265,0.001158982598736813,1.5454545454545454,1580.6671874298925,0.0005587371693760446
29,0.2131313131313131,1580.6747787448396,0.0010390000243942765,1.5656565656565655,1580.6664410543292,0.0005115178850489954
30,0.2171717171717171,1580.673017342741,0.0009275653116258553,1.585858585858586,1580.6657226685636,0.00046606936905391194
31,0.2212121212121212,1580.6713847125864,0.0008242773272826298,1.606060606060606,1580.6650337178137,0.00042248305278658194
32,0.2252525252525252,1580.6698750078117,0.0007287661898391917,1.6262626262626263,1580.6643751449035,0.0003808185838227729
33,0.2292929292929293,1580.6684823304329,0.0006406587646168305,1.6464646464646466,1580.6637479699734,0.0003411405010922408
34,0.2333333333333333,1580.6672013715918,0.0005596191878787238,1.6666666666666667,1580.6631529884887,0.00030349912953919755
35,0.2373737373737373,1580.6660269882643,0.00048532208736240534,1.6868686868686869,1580.6625909735212,0.0002679433773744577
36,0.2414141414141414,1580.6649542164116,0.0004174534142364905,1.7070707070707072,1580.662062597514,0.00023451578656796812
37,0.2454545454545454,1580.663978433031,0.0003557206952553571,1.7272727272727273,1580.6615683127352,0.00020324496974311046
38,0.2494949494949495,1580.663095210102,0.00029984379272818273,1.7474747474747474,1580.6611086715516,0.0001741658723020123
39,0.2535353535353535,1580.662300305548,0.0002495543325542471,1.7676767676767675,1580.6606840318768,0.00014730113753191887
40,0.2575757575757575,1580.6615897269887,0.00020459973775199813,1.787878787878788,1580.6602946929495,0.000122669696711597
41,0.2616161616161616,1580.6609596654814,0.00016473903634572906,1.808080808080808,1580.6599409103326,0.00010028771799674985
42,0.2656565656565657,1580.6604063921045,0.00012973631897672533,1.8282828282828285,1580.6596227770842,8.016108865582794e-05
43,0.2696969696969697,1580.6599264783551,9.937468214982204e-05,1.8484848484848488,1580.6593404360203,6.229884392805474e-05
44,0.2737373737373737,1580.659516635198,7.344604580072911e-05,1.8686868686868687,1580.659093839136,4.669794677614192e-05
45,0.2777777777777778,1580.6591737054412,5.1750670837513724e-05,1.8888888888888888,1580.6588829941677,3.335888665301212e-05
46,0.2818181818181818,1580.658894673639,3.409778581708878e-05,1.9090909090909087,1580.6587078174916,2.22763731239084e-05
47,0.2858585858585858,1580.6586766455268,2.0304285697214652e-05,1.9292929292929293,1580.6585681412218,1.3439784929403231e-05
